"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 06 13:32:37 PST 2022","Mon Jun 06 13:32:50 PST 2022","12873","Chrome","merchant/settings-general.spec.js","WooCommerce General Settings","","","can update settings",""
"passed","Mon Jun 06 13:28:03 PST 2022","Mon Jun 06 13:28:13 PST 2022","10221","Chrome","merchant/customer-payment-page.spec.js","WooCommerce Merchant Flow: Orders > Customer Payment Page","","","should show the customer payment page link on a pending order",""
"passed","Mon Jun 06 13:33:31 PST 2022","Mon Jun 06 13:33:36 PST 2022","4462","Chrome","merchant/order-search.spec.js","WooCommerce Orders > Search orders","","","can search for order containing ""Wanted Product"" as the shipping item name",""
"failed","Mon Jun 06 13:33:35 PST 2022","Mon Jun 06 13:33:38 PST 2022","2786","Chrome","merchant/settings-tax.spec.js","WooCommerce Tax Settings","","","can remove tax classes",""
"broken","Mon Jun 06 13:31:10 PST 2022","Mon Jun 06 13:31:32 PST 2022","21701","Chrome","activate-and-setup/complete-onboarding-wizard.spec.js","A japanese store can complete the selective bundle install but does not include WCPay.","","","should display the choose payments task, and not the WC Pay task",""
"passed","Mon Jun 06 13:27:22 PST 2022","Mon Jun 06 13:27:29 PST 2022","6872","Chrome","admin-analytics/analytics.spec.js","Analytics pages","","","A user can view the Orders page without it crashing",""
"broken","Mon Jun 06 13:30:56 PST 2022","Mon Jun 06 13:31:22 PST 2022","26385","Chrome","merchant/product-import-csv.spec.js","Import Products from a CSV file","","","can upload the CSV file and import products",""
"passed","Mon Jun 06 13:31:05 PST 2022","Mon Jun 06 13:31:20 PST 2022","14914","Chrome","merchant/page-loads.spec.js","WooCommerce Page Load > Load WooCommerce sub pages","","","Can load Settings",""
"passed","Mon Jun 06 13:27:32 PST 2022","Mon Jun 06 13:27:42 PST 2022","9819","Chrome","admin-analytics/analytics-overview.spec.js","Analytics pages > moving sections","","","should not display move up for the top, or move down for the bottom section",""
"passed","Mon Jun 06 13:30:24 PST 2022","Mon Jun 06 13:30:36 PST 2022","11688","Chrome","merchant/page-loads.spec.js","WooCommerce Page Load > Load WooCommerce sub pages","","","Can load Orders",""
"passed","Mon Jun 06 13:33:01 PST 2022","Mon Jun 06 13:33:09 PST 2022","8433","Chrome","merchant/order-search.spec.js","WooCommerce Orders > Search orders","","","can search for order containing ""123456789"" as the billing phone",""
"failed","Mon Jun 06 13:28:14 PST 2022","Mon Jun 06 13:28:37 PST 2022","23327","Chrome","merchant/create-simple-product.spec.js","Add New Simple Product Page","","","can create simple non-virtual product",""
"passed","Mon Jun 06 13:28:29 PST 2022","Mon Jun 06 13:28:45 PST 2022","15262","Chrome","activate-and-setup/complete-onboarding-wizard.spec.js","Store owner can complete onboarding wizard","","","can complete the business section",""
"passed","Mon Jun 06 13:31:48 PST 2022","Mon Jun 06 13:32:01 PST 2022","12532","Chrome","merchant/page-loads.spec.js","WooCommerce Page Load > Load Products sub pages","","","Can load Add New",""
"failed","Mon Jun 06 13:30:33 PST 2022","Mon Jun 06 13:30:57 PST 2022","24134","Chrome","merchant/order-status-filter.spec.js","WooCommerce Orders > Filter Order by Status","","","should filter by Pending payment",""
"failed","Mon Jun 06 13:33:22 PST 2022","Mon Jun 06 13:33:31 PST 2022","8564","Chrome","merchant/settings-tax.spec.js","WooCommerce Tax Settings","","","can set rate settings",""
"failed","Mon Jun 06 13:32:28 PST 2022","Mon Jun 06 13:32:40 PST 2022","11646","Chrome","merchant/product-settings.spec.js","WooCommerce Products > Downloadable Product Settings","","","can update settings",""
"broken","Mon Jun 06 13:28:02 PST 2022","Mon Jun 06 13:28:27 PST 2022","24966","Chrome","merchant/create-variable-product.spec.js","Add New Variable Product Page","","","can create product, attributes and variations",""
"passed","Mon Jun 06 13:28:12 PST 2022","Mon Jun 06 13:28:22 PST 2022","10197","Chrome","admin-analytics/analytics.spec.js","Analytics pages","","","A user can view the Stock page without it crashing",""
"broken","Mon Jun 06 13:29:39 PST 2022","Mon Jun 06 13:30:08 PST 2022","28440","Chrome","merchant/order-status-filter.spec.js","WooCommerce Orders > Filter Order by Status","","","should filter by All",""
"failed","Mon Jun 06 13:28:21 PST 2022","Mon Jun 06 13:29:04 PST 2022","42825","Chrome","merchant/create-order.spec.js","WooCommerce Orders > Add new order","","","can create new complex order with multiple product types & tax classes",""
